"video_id","video_title","video_description","video_title_language","video_description_language","video_duration","video_views","video_likes","video_dislikes","published_at","channel_name","channel_id","comment_type","comment_id","reply_to_comment_id","youtube_comment_id","youtube_reply_id","youtube_parent_id","author_name","author_channel_id","author_subscribers","text","date","likes","language","blob_sentiment","vader_sentiment"
"JPX8KLmjqRs","#beauty #asmr #oddlysatisfying #makeup #makeuphacks #mini #minilipstick #beautyproducts #shorts","","en","unknown","PT11S","26815307","743354","0","2022-12-10T18:57:00+00:00","Letsgetpurdymaybe","UCK6IfZHq0hJnju5SxJdgSwQ","comment","UgwJ9pcogtUsJFRnksB4AaABAg","","UgwJ9pcogtUsJFRnksB4AaABAg","","","Zakiya Sultana","UCgDuRPkj668sfd0DgykijCA","0","Dgtcdv❤❤❤😊","2026-03-07T06:24:47Z","0","da","N/A","N/A"
"JPX8KLmjqRs","#beauty #asmr #oddlysatisfying #makeup #makeuphacks #mini #minilipstick #beautyproducts #shorts","","en","unknown","PT11S","26815307","743354","0","2022-12-10T18:57:00+00:00","Letsgetpurdymaybe","UCK6IfZHq0hJnju5SxJdgSwQ","comment","Ugw4wvlKo8AbBeABSlF4AaABAg","","Ugw4wvlKo8AbBeABSlF4AaABAg","","","Ahsanraza786 ","UCHDRIZAv9156fihOeX-9gSw","3","And🤑👌🙏🤤👁️📚😭📚🤩❤👁️","2024-07-05T08:25:21Z","0","unknown","N/A","N/A"
"JPX8KLmjqRs","#beauty #asmr #oddlysatisfying #makeup #makeuphacks #mini #minilipstick #beautyproducts #shorts","","en","unknown","PT11S","26815307","743354","0","2022-12-10T18:57:00+00:00","Letsgetpurdymaybe","UCK6IfZHq0hJnju5SxJdgSwQ","comment","UgzmXxSHGMdPCu2_lGV4AaABAg","","UgzmXxSHGMdPCu2_lGV4AaABAg","","","Renu Nawaria","UC6jqTvMA62H_TxBaOZIGsvA","2","P to batate nahi ho fak he ye sub","2024-06-22T04:45:57Z","0","en","0.0","0.0"
"JPX8KLmjqRs","#beauty #asmr #oddlysatisfying #makeup #makeuphacks #mini #minilipstick #beautyproducts #shorts","","en","unknown","PT11S","26815307","743354","0","2022-12-10T18:57:00+00:00","Letsgetpurdymaybe","UCK6IfZHq0hJnju5SxJdgSwQ","comment","UgzpmygKDewGraWUe2d4AaABAg","","UgzpmygKDewGraWUe2d4AaABAg","","","Fozan Khan","UCYY0Pd5yJJ8SzNC1yvJCPVg","0","Ye mojhe chahiye","2024-06-09T08:06:21Z","0","sw","N/A","N/A"
"JPX8KLmjqRs","#beauty #asmr #oddlysatisfying #makeup #makeuphacks #mini #minilipstick #beautyproducts #shorts","","en","unknown","PT11S","26815307","743354","0","2022-12-10T18:57:00+00:00","Letsgetpurdymaybe","UCK6IfZHq0hJnju5SxJdgSwQ","comment","UgyUzwr7stpmjvaRA7F4AaABAg","","UgyUzwr7stpmjvaRA7F4AaABAg","","","Loretta Pereira","UCIna9ft03dn0OSlDGxgPnqA","0","I❤U","2024-05-19T07:48:19Z","0","en","0.0","0.0"
"JPX8KLmjqRs","#beauty #asmr #oddlysatisfying #makeup #makeuphacks #mini #minilipstick #beautyproducts #shorts","","en","unknown","PT11S","26815307","743354","0","2022-12-10T18:57:00+00:00","Letsgetpurdymaybe","UCK6IfZHq0hJnju5SxJdgSwQ","comment","UgxKrd_skX_4-lWEce94AaABAg","","UgxKrd_skX_4-lWEce94AaABAg","","","Ssarvesh Kkashyap","UCsudIHq1rIxtJ4zqlvyDdyw","2","😊😊😊😊😊😊😊❤❤❤wows","2024-05-12T06:42:31Z","0","unknown","N/A","N/A"
"JPX8KLmjqRs","#beauty #asmr #oddlysatisfying #makeup #makeuphacks #mini #minilipstick #beautyproducts #shorts","","en","unknown","PT11S","26815307","743354","0","2022-12-10T18:57:00+00:00","Letsgetpurdymaybe","UCK6IfZHq0hJnju5SxJdgSwQ","comment","UgyLsuE7B-apfqtwEaN4AaABAg","","UgyLsuE7B-apfqtwEaN4AaABAg","","","saiyad gulam cha","UChKxBiD9yDU3Bx7Rkho3YRg","4","❤❤❤😊😊","2024-05-01T15:14:23Z","0","unknown","N/A","N/A"
"JPX8KLmjqRs","#beauty #asmr #oddlysatisfying #makeup #makeuphacks #mini #minilipstick #beautyproducts #shorts","","en","unknown","PT11S","26815307","743354","0","2022-12-10T18:57:00+00:00","Letsgetpurdymaybe","UCK6IfZHq0hJnju5SxJdgSwQ","comment","UgwYQqxUI2l35N4gECZ4AaABAg","","UgwYQqxUI2l35N4gECZ4AaABAg","","","Taran Ebiya","UC5GPoi4dkugTZAaCxT1LHwg","3","❤❤❤❤","2024-04-25T01:14:36Z","0","unknown","N/A","N/A"
"JPX8KLmjqRs","#beauty #asmr #oddlysatisfying #makeup #makeuphacks #mini #minilipstick #beautyproducts #shorts","","en","unknown","PT11S","26815307","743354","0","2022-12-10T18:57:00+00:00","Letsgetpurdymaybe","UCK6IfZHq0hJnju5SxJdgSwQ","comment","Ugy9IDeT00F0Tstl6_t4AaABAg","","Ugy9IDeT00F0Tstl6_t4AaABAg","","","Preeti Kumari","UC7TEFwsTFJF39jSteIqikwA","1","♥️💗🤎💚💛💙🧡🤍💖💓💕🖤💝💝💝💝💝💓💓💓💖💖💖💞💞💞💃🥰😍🤩❤️🧡💛👄💗💓💞💌","2024-04-06T14:55:24Z","0","unknown","N/A","N/A"
"JPX8KLmjqRs","#beauty #asmr #oddlysatisfying #makeup #makeuphacks #mini #minilipstick #beautyproducts #shorts","","en","unknown","PT11S","26815307","743354","0","2022-12-10T18:57:00+00:00","Letsgetpurdymaybe","UCK6IfZHq0hJnju5SxJdgSwQ","comment","UgwQOJcbTmRyZmXWu0J4AaABAg","","UgwQOJcbTmRyZmXWu0J4AaABAg","","","Rittik kumar","UCGOkF3WC_dIym1acqyXb4OQ","2","🎉😮😮😊😅❤","2024-04-06T12:16:43Z","0","unknown","N/A","N/A"
